92,Kost Baru Bangka Raya Tipe B Mampang Prapatan Jakarta Selatan,Mampang Prapatan,"K. Mandi Dalam ·WiFi ·AC ·Kasur ·Akses 24 Jam
4.6",Rp1.000.000
93,Kost Sky Residence Mampang Prapatan Jakarta Selatan,Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Rp2.500.000
94,Kost Bakmi Jawa Mampang Prapatan Jakarta Selatan,Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Rp2.500.000
95,Kost Pak Andri Mampang Prapatan Jakarta Selatan,Mampang Prapatan,Kasur ·Akses 24 Jam,Rp1.700.000
96,Kost Mroom PH Kebayoran Baru Jakarta Selatan,Kecamatan Kebayoran Baru,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur
4.5",Rp900.000
97,Kost Kebalen 1 Tipe C Kebayoran Baru Jakarta Selatan,Kebayoran Baru,Kloset Duduk ·Kasur ·Akses 24 Jam,Rp2.500.000
98,Kost Triloka Mansion Tipe A Pancoran Jakarta Selatan,Pancoran,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
5.0",Rp2.250.000
99,Kost Java dekost Tipe A Duren Tiga Pancoran Jakarta Selatan,Pancoran,WiFi ·Kloset Duduk ·Kasur,Rp1.200.000
100,Kost Amy 36 Tipe C Mampang Prapatan Jakarta Selatan,Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Rp1.700.000
101,Kost Kemang Utara C Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Rp2.495.000
102,Kost Daksa Pancoran Jakarta Selatan,Pancoran,"Kloset Duduk ·Kasur
4.6",Rp3.000.001
103,Kost H Deddy Tipe A Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,K. Mandi Dalam ·Kasur ·Akses 24 Jam,Rp750.000
104,Kost 3 Pav Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Rp3.300.000
105,Kost Dahlia Pasar Minggu Jakarta Selatan,Pasar Minggu,K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam,Rp1.000.000
106,Kost Bengisel Tipe A Pancoran Jakarta Selatan,Pancoran,"WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.5",Rp2.990.000
107,Kost Almuntaha Tipe Duluxe Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
5.0",Rp1.200.000
108,Kost Triloka Mansion Tipe C Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Rp2.450.000
109,Kost Nabils Mampang Prapatan Jakarta Selatan,Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur,Rp1.300.000
110,Kost Nur 53 AC Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,"WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.6",Rp1.150.000
111,Kost 88 Group Tipe A Pancoran Jakarta Selatan,Kecamatan Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Rp900.000
112,Kost Triloka Mansion Tipe B Pancoran Jakarta Selatan,Pancoran,"K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam
4.0",Rp2.000.000
113,Kost Happy Family Tipe A Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,"K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam
5.0",Rp900.000
114,Kost Bapak Fikri Tipe B Pancoran Jakarta Selatan,Pancoran,"K. Mandi Dalam ·WiFi ·Kasur
1.6",Rp1.000.000
115,Kost Bapak Fikri Tipe A Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·Kasur,Rp3.500.000
