0;1;2;3;4;5;6;7;8;9
Kos Andalan;Putra;Kost Baru Bangka Raya Tipe B Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kasur ·Akses 24 Jam;4.6;Rp1.700.000;/bulan;;
Kos Andalan;Campur;Kost Kebalen 1 Tipe C Kebayoran Baru Jakarta Selatan;Kebayoran Baru;Kloset Duduk ·Kasur ·Akses 24 Jam;Rp1.000.000;/bulan;;;
Kos Andalan;Campur;Kost Triloka Mansion Tipe A Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;5.0;Rp2.990.000;/bulan;;
Kos Andalan;Campur;Kost Java dekost Tipe A Duren Tiga Pancoran Jakarta Selatan;Pancoran;WiFi ·Kloset Duduk ·Kasur;Rp1.200.000;/bulan;;;
Kos Andalan;Campur;Kost Amy 36 Tipe C Mampang Prapatan Jakarta Selatan;Mampang Prapatan;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp2.450.000;/bulan;;;
Kos Andalan;Putri;Kost Kemang Utara C Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp1.300.000;/bulan;;;
Kos Andalan;Putra;Kost Daksa Pancoran Jakarta Selatan;Pancoran;Kloset Duduk ·Kasur;4.6;Rp1.150.000;/bulan;;
Kos Andalan;Campur;Kost H Deddy Tipe A Mampang Prapatan Jakarta Selatan;Kecamatan Mampang Prapatan;K. Mandi Dalam ·Kasur ·Akses 24 Jam;Rp900.000;/bulan;;;
Kos Andalan;Campur;Kost 3 Pav Pancoran Jakarta Selatan;Pancoran;K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam;Rp2.000.000;/bulan;;;
Kos Andalan;Putra;Kost Dahlia Pasar Minggu Jakarta Selatan;Pasar Minggu;K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam;Rp900.000;/bulan;;;
